#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
3083168 133.05 1 212553.5 -095146 0.00 6588 6703
3083180 148.59 1 213424.2 -194033 0.00 9355 9586
3083237 291.07 1 222336.4 -545238 0.00 11837 12205
3083241 100.46 1 223048.9 -184255 0.00 7165 7301
3083269 143.88 1 225925.2 -692949 0.00 9980 10242
3083333 88.72 1 235417.0 -420956 0.00 6736 6856
3083349 114.82 1 201555.7 -441849 0.00 9114 9333
3084941 156.31 1 172058.5 -651203 0.00 15919 16582
3084944 221.82 1 222202.4 -625233 0.00 13600 14085
3085370 254.68 1 100943.9 -390450 0.00 9544 9784
3085371 157.76 1 100944.8 -434653 0.00 10457 10745
3085373 86.70 1 100948.6 -403352 0.00 5594 5677
3085551 193.20 1 122405.1 -500233 0.00 11856 12226
3085562 118.03 1 133429.2 -730150 0.00 14045 14561
3085628 169.04 1 151714.7 -445257 0.00 9865 10121
3085743 94.62 1 173543.5 -564234 0.00 6903 7029
3085754 80.91 1 182003.8 -440744 0.00 9970 10232
3085800 163.68 1 133612.5 -495411 0.00 14602 15161
3085859 148.59 1 101340.3 -350632 0.00 9251 9477
3092505 60.81 1 035925.7 -004020 0.00 3856 3895
3092533 185.35 1 211008.2 -004623 0.00 9770 10022
3092543 114.29 1 025923.2 -011000 0.00 8283 8463
3092544 194.98 1 041432.8 -010727 0.00 9242 9467
3092581 213.80 1 095713.2 -031008 0.00 14904 15485
3092582 127.06 1 100027.0 -025651 0.00 7050 7181
3092605 158.49 1 005638.9 -024841 0.00 13366 13835
3092620 101.39 1 034950.8 -033741 0.00 8431 8618
3092668 235.50 1 215353.2 -030656 0.00 15964 16630
3092693 193.20 1 022529.8 -040042 0.00 12758 13185
3092711 211.84 1 075737.5 -043735 0.00 16111 16790
3092717 172.98 1 083211.5 -041151 0.00 9908 10166
3092747 211.84 1 125722.5 -044109 0.00 14544 15098
3092757 67.92 1 140307.5 -044210 0.00 7925 8091
3092776 208.93 1 213558.8 -042331 0.00 15168 15770
3092809 68.23 1 024444.1 -052918 0.00 8611 8806
3092876 89.13 1 211423.5 -050556 0.00 7791 7951
3092895 223.87 1 002235.4 -062027 0.00 12181 12571
3092917 64.27 1 044656.7 -055857 0.00 4678 4736
3093021 120.78 1 053252.0 -074540 0.00 8373 8558
3093041 160.69 1 112007.0 -080753 0.00 7358 7501
3093071 107.15 1 233933.3 -072728 0.00 6406 6515
3093098 175.39 1 053241.8 -083803 0.00 15627 16265
3093207 112.72 1 085722.7 -094748 0.00 9762 10012
3093208 176.20 1 090229.1 -100338 0.00 13115 13566
3093211 162.93 1 091824.9 -093045 0.00 15658 16299
3093233 117.49 1 125810.5 -100928 0.00 6701 6820
3093275 131.22 1 222911.6 -092004 0.00 8698 8898
3093291 139.32 1 012926.8 -103916 0.00 14551 15105
3093370 172.98 1 140355.8 -103235 0.00 11241 11573
3093424 157.04 1 024836.3 -113722 0.00 9666 9912
3093437 90.36 1 042927.2 -111607 0.00 9734 9984
3093442 62.52 1 061321.6 -115645 0.00 6816 6938
3093463 169.82 1 113336.6 -113218 0.00 12609 13026
3093477 79.80 1 151115.3 -114143 0.00 7744 7902
3093479 159.22 1 152454.0 -111907 0.00 8370 8554
3093506 86.30 1 013243.4 -120917 0.00 5249 5322
3093510 126.47 1 023724.0 -115214 0.00 8092 8265
3093522 207.01 1 054843.1 -124101 0.00 7154 7289
3093559 219.79 1 130214.0 -124627 0.00 14394 14937
3093560 105.20 1 133236.5 -130949 0.00 6940 7068
3093600 230.14 1 010813.1 -133916 0.00 15137 15736
3093616 221.82 1 030435.9 -133034 0.00 14305 14841
3093619 157.04 1 033011.4 -133123 0.00 12123 12508
3093633 59.70 1 093422.0 -135852 0.00 4235 4283
3093634 198.61 1 094931.3 -140347 0.00 12737 13163
3093635 84.72 1 095641.2 -134128 0.00 9729 9978
3093645 108.64 1 114219.0 -135145 0.00 6945 7073
3093657 165.96 1 133126.8 -131904 0.00 11343 11682
3093661 100.46 1 134334.3 -131742 0.00 12724 13149
3093671 99.54 1 210144.0 -132128 0.00 8511 8701
3093672 125.89 1 210209.8 -125728 0.00 8737 8939
3093691 181.13 1 003803.4 -144217 0.00 15548 16180
3093708 155.60 1 024347.0 -134901 0.00 7985 8153
3093736 152.05 1 105929.9 -145142 0.00 7904 8069
3093763 199.53 1 154021.2 -150818 0.00 15198 15803
3093771 203.24 1 210842.9 -144715 0.00 12009 12388
3093792 172.19 1 012349.0 -154235 0.00 12959 13399
3093841 123.59 1 124208.8 -154917 0.00 12552 12965
3093844 181.97 1 134952.8 -154137 0.00 11876 12246
3093849 100.46 1 203835.9 -152754 0.00 8243 8422
3093856 150.66 1 215015.2 -144952 0.00 11667 12025
3093876 114.82 1 003901.6 -160615 0.00 5612 5695
3093887 101.39 1 024439.3 -160425 0.00 10441 10728
3093890 126.47 1 031727.2 -164808 0.00 8830 9035
3093894 194.98 1 033912.0 -164213 0.00 10925 11239
3093897 119.67 1 040106.6 -160639 0.00 9395 9627
3093908 112.72 1 045929.2 -160134 0.00 8562 8755
3093909 69.82 1 050119.9 -163904 0.00 6586 6701
3093919 144.54 1 091104.8 -161255 0.00 11703 12063
3093923 68.87 1 092719.1 -170053 0.00 4994 5060
3093943 90.36 1 132419.2 -170742 0.00 7490 7638
3093990 179.47 1 044717.1 -170544 0.00 15084 15680
3094013 235.50 1 125439.2 -181424 0.00 13544 14025
3094032 208.93 1 222252.9 -173749 0.00 13760 14256
3094041 116.41 1 003442.0 -181203 0.00 15859 16516
3094048 189.67 1 010615.8 -180355 0.00 15640 16279
3094078 138.68 1 053208.6 -184934 0.00 13503 13981
3094096 103.75 1 104806.8 -182141 0.00 11956 12331
3094111 157.76 1 125729.3 -182448 0.00 14063 14582
3094119 182.81 1 143748.9 -190155 0.00 14946 15530
3094184 225.94 1 034823.6 -192726 0.00 11767 12131
3094236 194.09 1 125927.8 -191938 0.00 13791 14289
3094249 99.08 1 140033.6 -201423 0.00 11005 11323
3094257 121.34 1 154448.2 -192221 0.00 11214 11545
3094261 135.52 1 202852.0 -185106 0.00 7816 7977
3094304 197.70 1 232908.7 -190842 0.00 15788 16440
3094313 161.44 1 012928.1 -201926 0.00 12626 13044
3094315 178.65 1 013124.9 -201120 0.00 12532 12944
3094338 127.06 1 050034.8 -203406 0.00 9887 10144
3094339 154.88 1 051611.5 -203556 0.00 15952 16617
3094347 147.91 1 060131.6 -200816 0.00 8279 8459
3094356 146.55 1 093710.7 -203401 0.00 10392 10677
3094370 187.93 1 113820.3 -210730 0.00 11914 12287
3094383 119.67 1 125720.0 -203925 0.00 6613 6728
3094401 85.51 1 152115.3 -202026 0.00 7175 7311
3094416 97.72 1 204151.7 -203209 0.00 8022 8192
3094417 154.17 1 204226.8 -201052 0.00 7723 7880
3094421 109.65 1 211246.7 -194901 0.00 8971 9183
3094431 214.78 1 223848.8 -200449 0.00 15646 16287
3094458 202.30 1 014924.3 -214109 0.00 14536 15089
3094459 172.98 1 020104.9 -213300 0.00 12783 13212
3094478 277.97 1 050024.7 -211407 0.00 15740 16388
3094480 99.08 1 052128.5 -212432 0.00 8841 9046
3094481 84.72 1 052131.1 -212342 0.00 8887 9095
3094486 112.20 1 052947.6 -210246 0.00 8371 8556
3094500 112.72 1 093432.1 -213414 0.00 10729 11032
3094502 106.17 1 095233.0 -215317 0.00 8797 9001
3094503 90.36 1 095815.0 -213718 0.00 8546 8739
3094514 195.88 1 111953.5 -214607 0.00 8529 8721
3094526 243.22 1 124403.0 -214058 0.00 13889 14394
3094531 167.49 1 131250.8 -214052 0.00 10717 11019
3094534 133.66 1 140227.1 -215942 0.00 12533 12945
3094537 97.72 1 143750.8 -213644 0.00 8406 8592
3094545 291.07 1 195307.4 -213016 0.00 14249 14781
3094549 96.83 1 202430.5 -210108 0.00 8241 8420
3094554 117.49 1 203954.1 -213614 0.00 10902 11214
3094572 181.97 1 225012.3 -211832 0.00 9688 9935
3094582 173.78 1 234517.7 -213441 0.00 8977 9189
3094590 116.95 1 015610.7 -215810 0.00 13001 13445
3094599 159.96 1 045723.0 -221302 0.00 10355 10637
3094601 130.62 1 052225.3 -223933 0.00 14543 15097
3094628 177.01 1 130847.3 -222051 0.00 14124 14646
3094689 399.94 1 022807.8 -031640 0.00 15914 16577
3094690 112.72 1 042302.0 -030741 0.00 10174 10447
3094692 164.44 1 135020.9 -045754 0.00 15647 16287
3094695 91.62 1 115704.8 -081731 0.00 6048 6145
3094739 63.10 1 171611.0 -732307 0.00 4901 4965
3095336 158.49 1 062603.4 -390705 0.00 11401 11743
3097814 93.33 2 141848.7 -272338 16.76 7046 7177
3097818 220.80 1 165909.8 -620404 0.00 14661 15223
3098281 124.74 1 122644.4 -444305 0.00 10086 10353
3098355 154.17 1 195232.5 -100836 0.00 15695 16340
3098376 140.60 1 210118.5 -523857 0.00 11070 11392
3098461 187.93 1 042353.4 -140206 0.00 13751 14247
3099156 156.31 1 044513.7 -155315 0.00 10351 10633
3099169 194.98 1 052544.2 -332728 0.00 11473 11819
3099172 207.01 1 053855.8 -401543 0.00 14221 14751
3099183 205.12 1 055717.4 -373049 0.00 13544 14025
3099187 147.23 1 060040.5 -261405 0.00 12650 13070
3099215 192.31 1 122641.7 -510758 0.00 12412 12816
3099232 177.83 1 134700.8 -331649 0.00 10801 11108
3099239 131.83 1 141438.0 -403550 0.00 10689 10989
3099250 224.91 1 151400.1 -213126 0.00 14873 15452
3099251 68.87 1 153030.9 -021633 0.00 8571 8764
3099254 117.49 1 184845.9 -571408 0.00 10335 10616
3099258 135.52 1 195744.0 -523148 0.00 5438 5516
3099263 71.12 1 200236.1 -554929 0.00 4525 4579
3099270 97.27 1 202411.6 -502239 0.00 5516 5597
3099312 114.29 1 134601.1 -371959 0.00 15980 16647
3099322 187.93 1 032626.6 -635704 0.00 10492 10781
3099333 89.54 1 051355.5 -083501 0.00 11915 12288
3109183 212.81 1 110127.2 -004306 0.00 13670 14160
3110376 246.60 1 013743.3 -002910 0.00 15074 15669
3111069 209.89 1 124345.1 -002126 0.00 14727 15295
3116670 337.29 1 011643.9 +004737 0.00 22582 23906
3166309 231.21 1 212220.4 -502644 0.00 15506 16135
3212477 237.68 1 024551.4 -282428 0.00 12900 13336
3215910 266.69 1 032942.1 -275238 0.00 19697 20707
3255674 133.66 1 095841.6 -041951 0.00 15230 15837
3279404 104.71 1 100002.3 -010344 0.00 14169 14695
3333560 230.14 1 224142.1 -000812 0.00 16993 17747
3358371 297.85 1 103928.5 +051101 0.00 20700 21815
3374128 115.35 1 221908.9 +131040 0.00 7981 8149
3407325 176.20 1 154223.6 -011630 0.00 9931 10191
3441843 281.84 1 071210.9 -532332 0.00 14022 14537
3441861 177.01 1 053704.7 -385600 0.00 10973 11289
3442212 139.96 1 030514.1 -142252 0.00 9166 9387
3442274 168.27 1 045443.4 -172718 0.00 9225 9449
3442426 165.96 1 060239.6 -584333 0.00 11393 11735
3442478 208.93 1 052733.5 -371317 0.00 14097 14618
3442522 172.98 1 012555.9 -112830 0.00 14736 15304
3594496 141.25 1 002153.0 -192626 0.00 6806 6928
3595164 145.21 1 002425.3 -141457 0.00 6959 7087
3600697 105.68 1 004100.4 -555621 0.00 8420 8606
3603692 150.66 1 004936.5 -472503 0.00 9534 9774
3605893 207.97 1 005554.5 -742236 0.00 10352 10634
3606710 250.03 1 005805.0 -164236 0.00 15734 16382
3609480 230.14 1 010541.4 -133250 0.00 15174 15776
3609611 101.39 1 010602.6 -735952 0.00 9970 10232
3610315 203.24 1 010803.0 -433140 0.00 16062 16736
3611453 142.56 1 011116.0 -613033 0.00 8223 8402
3611652 173.78 1 011148.5 -312820 0.00 9904 10163
3617935 177.83 1 012706.2 +190658 0.00 12620 13038
3622838 132.43 1 014033.4 -044548 0.00 12167 12556
3624566 354.81 1 014544.6 -560551 0.00 26259 28041
3625314 224.91 1 014757.3 -154247 0.00 11877 12247
3629686 185.35 1 020201.3 -735658 0.00 9595 9838
3631246 158.49 1 020647.6 -182354 0.00 15429 16051
3634387 292.42 1 021548.7 -154148 0.00 15598 16234
3642542 196.79 1 024214.8 -782325 0.00 13822 14323
3642877 72.78 1 024315.3 -662538 0.00 5616 5700
3646706 184.50 1 025335.9 -584040 0.00 8734 8935
3647642 138.68 1 025556.8 -140651 0.00 8480 8670
3648685 122.46 1 025829.2 -112713 0.00 9704 9952
3649035 171.40 1 025917.3 -780249 0.00 15691 16335
3649212 196.79 1 025945.8 -782718 0.00 15751 16400
3649223 167.49 1 025948.2 -783926 0.00 15643 16283
3651523 272.90 1 030457.8 -401510 0.00 14490 15040
3652055 101.86 1 030613.4 -852414 0.00 12988 13430
3654658 363.08 1 031234.3 -502022 0.00 8829 9034
3657134 281.84 1 031944.2 -270025 0.00 20675 21787
3657261 117.49 1 032009.8 -792437 0.00 7731 7888
3657965 181.13 1 032215.8 -253127 0.00 12840 13273
3660126 299.23 1 032827.7 -232020 0.00 15814 16468
3661781 320.63 1 033342.9 -241203 0.00 16085 16761
3662229 217.77 1 033507.3 -712747 0.00 14823 15398
3662534 243.22 1 033558.0 -742534 0.00 15972 16639
3663002 140.60 1 033722.6 -330235 0.00 11603 11956
3664924 151.36 1 034236.3 -245533 0.00 12243 12636
3665901 226.99 1 034243.2 -024009 0.00 14252 14784
3665923 178.65 1 034521.7 -743854 0.00 15000 15588
3669867 126.47 1 035645.2 -012917 0.00 11061 11383
3672044 151.36 1 040407.9 -034906 0.00 11139 11465
3672859 226.99 1 040637.1 -701038 0.00 14362 14903
3673808 212.81 1 040943.7 -694724 0.00 14708 15275
3675002 178.65 1 041335.4 -390521 0.00 15133 15733
3675833 264.24 1 041616.6 -535842 0.00 11790 12155
3677076 259.42 1 042010.0 -180828 0.00 10242 10517
3678256 133.05 1 042343.0 -733132 0.00 9371 9603
3678978 127.64 1 042546.8 -400802 0.00 11509 11857
3679328 81.66 1 042651.3 -101152 0.00 9144 9364
3680827 133.66 1 043113.7 -710325 0.00 14190 14717
3681058 131.83 1 043147.7 -762806 0.00 11668 12025
3682118 110.15 1 043451.8 -140410 0.00 10509 10800
3683059 250.03 1 043725.6 -021350 0.00 8802 9007
3683322 167.49 1 043812.4 -691717 0.00 8757 8959
3684687 110.66 1 044217.5 -680152 0.00 8913 9122
3685395 194.09 1 044422.5 -154926 0.00 11138 11464
3686088 138.68 1 044628.1 -164142 0.00 10129 10399
3688751 147.91 1 045434.7 -185712 0.00 11903 12275
3689034 143.22 1 045531.1 -203609 0.00 9772 10023
3689665 141.91 1 045730.5 -200225 0.00 11462 11807
3689934 87.50 1 045812.5 -050933 0.00 9770 10021
3691155 183.65 1 050130.2 -230651 0.00 12461 12869
3691227 83.18 1 050139.8 -091553 0.00 3896 3936
3691572 269.15 1 050229.4 -121814 0.00 12684 13106
3693044 102.80 1 050657.4 -730454 0.00 7717 7874
3693358 169.04 1 050757.7 -710707 0.00 13425 13897
3693621 183.65 1 050853.4 -233031 0.00 16142 16824
3693923 172.98 1 051004.7 -531539 0.00 11769 12133
3693934 171.40 1 051006.8 -243733 0.00 10162 10434
3694337 198.61 1 051127.5 -723520 0.00 13202 13659
3694717 128.23 1 051244.4 -232713 0.00 10037 10302
3695876 140.60 1 051620.3 -231444 0.00 10304 10583
3696457 196.79 1 051813.6 -723450 0.00 13805 14305
3697039 78.70 1 052013.4 -291102 0.00 11115 11440
3697989 259.42 1 052344.7 -032714 0.00 15383 16003
3698016 181.13 1 052351.1 -244220 0.00 11813 12180
3698076 303.39 1 052403.7 -244229 0.00 14813 15388
3698119 270.40 1 052411.4 -094934 0.00 13556 14038
3698228 139.96 1 052430.6 -460000 0.00 12367 12769
3698589 187.93 1 052550.1 -244659 0.00 15146 15746
3698659 170.61 1 052605.8 -741525 0.00 9684 9930
3698764 235.50 1 052632.0 -460910 0.00 12454 12861
3698919 289.73 1 052712.0 -591625 0.00 12584 13000
3698991 116.95 1 052732.0 -300437 0.00 10953 11269
3699118 90.78 1 052800.4 -205942 0.00 8431 8618
3699400 251.19 1 052910.5 -250225 0.00 13873 14377
3699480 111.69 1 052929.1 -630203 0.00 7881 8045
3699587 102.80 1 052958.1 -501322 0.00 10478 10767
3700088 77.27 1 053148.9 -270426 0.00 8093 8265
3700466 215.77 1 053316.7 -362301 0.00 14481 15030
3700610 140.60 1 053352.0 -255006 0.00 13279 13742
3700741 147.23 1 053421.7 -232247 0.00 9336 9565
3701039 250.03 1 053528.9 -235005 0.00 13663 14152
3701058 212.81 1 053532.6 -234956 0.00 13485 13961
3701067 194.98 1 053534.5 -354235 0.00 14221 14751
3701393 96.38 1 053648.3 -382250 0.00 10906 11219
3701710 143.88 1 053807.9 -362215 0.00 10808 11116
3701816 180.30 1 053831.8 -262519 0.00 14390 14932
3701925 207.97 1 053855.2 -253541 0.00 11682 12041
3702089 254.68 1 053937.9 -530309 0.00 16031 16703
3702112 134.28 1 053944.3 -651317 0.00 11120 11445
3702259 136.14 1 054018.4 -403957 0.00 11073 11395
3702335 83.56 1 054039.0 -704512 0.00 4540 4594
3702351 261.82 1 054043.2 -261831 0.00 11312 11648
3702601 210.86 1 054143.3 -255759 0.00 11006 11325
3702751 225.94 1 054221.2 -261153 0.00 11639 11995
3703004 214.78 1 054332.3 -475022 0.00 14849 15427
3703071 150.66 1 054349.4 -330057 0.00 10113 10382
3703160 140.60 1 054418.1 -494059 0.00 10071 10338
3703258 206.06 1 054449.0 -474511 0.00 14843 15419
3703409 140.60 1 054537.1 -293336 0.00 11310 11646
3703592 115.35 1 054642.3 -652332 0.00 11093 11417
3703779 113.76 1 054747.1 -844636 0.00 5994 6089
3703852 144.54 1 054811.1 -325933 0.00 11184 11513
3703931 232.27 1 054836.3 -471547 0.00 14593 15150
3703932 158.49 1 054836.3 -331502 0.00 11890 12261
3703990 117.49 1 054856.2 -691240 0.00 7733 7891
3704100 134.90 1 054928.0 -301736 0.00 14645 15207
3704131 207.97 1 054936.4 -670747 0.00 13574 14057
3704318 153.46 1 055036.6 -262143 0.00 12531 12943
3704395 220.80 1 055055.7 -553041 0.00 16101 16779
3704398 197.70 1 055056.8 -235807 0.00 13862 14366
3704409 192.31 1 055059.5 -252502 0.00 12103 12487
3704676 172.98 1 055221.7 -342047 0.00 10416 10701
3704815 170.61 1 055308.1 -394051 0.00 7436 7582
3704836 171.40 1 055316.4 -694257 0.00 11219 11550
3705048 128.23 1 055428.5 -410454 0.00 10722 11024
3705080 113.76 1 055437.7 -680158 0.00 11395 11737
3705081 129.42 1 055438.4 -682509 0.00 10889 11201
3705095 89.95 1 055444.7 -351923 0.00 10612 10908
3705103 159.22 1 055447.9 -580128 0.00 13064 13512
3705154 75.16 1 055504.7 -713030 0.00 5621 5704
3705230 141.91 1 055530.5 -695246 0.00 11331 11669
3705237 174.58 1 055531.8 -244751 0.00 11987 12364
3705355 152.05 1 055609.8 -701319 0.00 11392 11733
3705440 169.04 1 055637.8 -372139 0.00 13299 13763
3705495 116.41 1 055655.1 -700215 0.00 10976 11293
3705652 140.60 1 055733.1 -295414 0.00 8538 8731
3705824 139.96 1 055820.1 -345347 0.00 9678 9925
3705838 193.20 1 055824.6 -375437 0.00 13366 13835
3706111 221.82 1 055953.0 -642654 0.00 13993 14506
3706279 166.72 1 060045.4 -603122 0.00 10882 11193
3706393 157.76 1 060124.1 -583830 0.00 10928 11242
3706603 106.66 1 060236.6 -535600 0.00 10422 10708
3706758 199.53 1 060332.1 -274915 0.00 12492 12901
3706786 154.17 1 060342.3 -320942 0.00 9999 10262
3707381 77.27 1 060701.8 -692118 0.00 4488 4541
3707385 422.67 1 060702.9 -492916 0.00 16166 16849
3707742 139.96 1 060905.6 -631316 0.00 11830 12198
3707789 118.58 1 060919.9 -660927 0.00 10288 10567
3707824 127.06 1 060931.8 -654921 0.00 10664 10963
3707886 127.06 1 060951.8 -355200 0.00 9903 10161
3707892 207.01 1 060955.3 -500335 0.00 15119 15717
3708162 210.86 1 061129.5 -665514 0.00 10557 10850
3708315 162.18 1 061218.1 -443918 0.00 12188 12578
3708359 194.98 1 061230.4 -355852 0.00 11629 11984
3708382 139.96 1 061240.6 -500048 0.00 10891 11203
3708451 144.54 1 061308.9 -664321 0.00 10715 11017
3708483 132.43 1 061320.7 -655329 0.00 11295 11630
3708565 154.17 1 061344.1 -610817 0.00 16090 16767
3708572 171.40 1 061345.2 -725547 0.00 11585 11937
3708581 116.95 1 061348.0 -675515 0.00 10861 11171
3708618 186.21 1 061402.2 -662414 0.00 10794 11100
3708633 151.36 1 061410.1 -572029 0.00 15488 16116
3708636 140.60 1 061410.8 -611329 0.00 15977 16644
3708642 157.76 1 061412.2 -700519 0.00 10987 11304
3708808 166.72 1 061503.0 -693839 0.00 11505 11853
3709151 135.52 1 061714.1 -505942 0.00 15935 16599
3709552 172.98 1 061954.1 -714310 0.00 11196 11525
3709717 162.18 1 062046.4 -701207 0.00 10913 11226
3709748 161.44 1 062100.6 -723532 0.00 11544 11894
3711606 99.54 1 063231.2 -644226 0.00 8042 8212
3713012 114.82 1 064147.0 -544351 0.00 10191 10464
3713538 164.44 1 064520.0 -690823 0.00 14097 14618
3714008 207.01 1 064819.8 -552430 0.00 16060 16735
3714141 110.15 1 064909.0 -644021 0.00 8747 8948
3714191 358.10 1 064927.7 -555044 0.00 15992 16660
3714213 75.16 1 064937.9 -714253 0.00 4518 4572
3714616 89.13 1 065211.0 -590141 0.00 8726 8927
3714742 172.19 1 065302.6 -701732 0.00 11293 11629
3715560 181.97 1 065840.3 -645215 0.00 10236 10512
3716388 139.32 1 070328.3 -702459 0.00 10890 11202
3716469 169.82 1 070351.4 -541912 0.00 12535 12948
3716595 208.93 1 070426.1 -554421 0.00 15336 15951
3716640 142.56 1 070438.3 -703200 0.00 11188 11517
3716644 161.44 1 070439.2 -702307 0.00 11526 11875
3716790 117.49 1 070527.5 -695705 0.00 9743 9993
3716795 151.36 1 070529.5 -660148 0.00 9238 9463
3716798 226.99 1 070529.9 -750022 0.00 11940 12314
3717766 118.58 1 071004.2 -835536 0.00 12422 12827
3719332 192.31 1 071806.5 -693531 0.00 9957 10218
3723318 230.14 1 073947.9 -815040 0.00 12305 12703
3724791 107.65 1 075131.1 -695009 0.00 10371 10654
3725338 167.49 1 075552.6 -805226 0.00 12019 12398
3725974 99.08 1 080041.0 -723121 0.00 8264 8444
3732111 149.28 1 083640.1 -044901 0.00 12689 13111
3732874 206.06 1 084059.3 -785424 0.00 11729 12091
3736545 126.47 1 090010.7 -114412 0.00 7986 8154
3738376 222.84 1 090840.4 -822621 0.00 12217 12609
3740025 147.91 1 091616.3 -181828 0.00 13422 13894
3740206 358.10 1 091700.5 -080920 0.00 15370 15988
3741219 176.20 1 092148.7 -171929 0.00 11173 11501
3741220 151.36 1 092148.8 -172244 0.00 11139 11465
3743670 226.99 1 093332.4 -194313 0.00 10419 10705
3744213 181.13 1 093557.3 -200206 0.00 10836 11145
3747880 124.17 1 095031.8 -211901 0.00 8770 8973
3748238 133.66 1 095204.8 -160810 0.00 9394 9626
3749487 177.83 1 095800.3 -830710 0.00 12018 12397
3749699 55.72 1 095905.5 -134009 0.00 4542 4597
3749730 134.28 1 095912.4 -090008 0.00 9047 9262
3749746 63.68 1 095918.7 -192822 0.00 4011 4053
3750571 167.49 1 100332.4 -152800 0.00 9835 10090
3750898 161.44 1 100512.8 -130639 0.00 14510 15061
3752106 168.27 1 101045.6 -204344 0.00 9694 9942
3753704 162.93 1 101808.0 -040903 0.00 12065 12448
3753923 121.34 1 101903.0 -131405 0.00 8818 9023
3755102 151.36 1 102402.0 -192121 0.00 15129 15728
3759038 97.72 1 104113.1 -830903 0.00 12195 12586
3761082 177.01 1 104919.0 -830709 0.00 12235 12628
3765977 98.17 1 110635.6 -311951 0.00 10067 10334
3768628 129.42 1 111735.1 -223209 0.00 9193 9416
3768665 137.40 1 111743.1 -274919 0.00 10617 10913
3768667 54.70 1 111743.2 -035441 0.00 5494 5574
3769580 188.80 1 112115.5 -044248 0.00 7973 8141
3770845 119.12 1 112609.1 -353347 0.00 10467 10755
3771864 105.20 1 112926.1 -110425 0.00 5725 5812
3772520 297.85 1 113144.5 -364415 0.00 14230 14760
3773359 246.60 1 113457.9 -233137 0.00 15304 15917
3774462 239.88 1 113842.8 -362443 0.00 15086 15682
3774608 155.60 1 113919.1 -381139 0.00 9437 9672
3774809 169.04 1 113958.6 -142035 0.00 15587 16223
3775249 194.98 1 114129.8 -370954 0.00 15214 15820
3783727 248.89 1 121028.4 -180304 0.00 14041 14557
3789083 189.67 1 122641.9 -132809 0.00 15992 16660
3789649 269.15 1 122820.6 -313237 0.00 16210 16897
